Il sistema risolto:
x121 = -0.97
x122 =  1.66
x123 =  1.03
x124 =  0.39
x125 = -1.80
x126 =  5.85
x127 = -3.95
x128 = -0.41
x129 =  1.74
x130 = -0.91
x131 =  1.98
x132 =  0.86
x133 = -0.35
x134 =  2.40
x135 = -1.14
x136 =  0.10
x137 =  0.59
x138 = -0.50
x139 =  1.66
x140 = -3.43
x141 =  1.91
x142 = -0.06
x143 =  0.75
x144 =  1.53
x145 = -0.38
x146 = -4.29
x147 =  2.69
x148 =  0.91
x149 = -0.23
x150 =  0.23
x151 =  1.09
x152 = -0.88
x153 =  0.68
x154 = -1.60
x155 = -2.28
x156 =  0.61
x157 =  2.93
x158 =  0.76
x159 = -0.11
x160 =  0.32
x161 = -0.59
x162 =  3.80
x163 = -0.17
x164 =  1.68
x165 =  1.52
x166 = -2.76
x167 =  0.27
x168 = -1.03
x169 =  1.75
x170 = -1.15
x171 = -0.58
x172 =  1.63
x173 = -2.27
x174 = -1.37
x175 = -1.20
x176 =  0.24
x177 = -2.42
x178 = -1.08
x179 =  0.69
x180 = -0.57
x181 =  2.16
x182 = -1.29
x183 =  1.92
x184 =  0.62
x185 =  1.59
x186 =  1.89
x187 = -0.97
x188 = -1.49
x189 = -0.82
x190 =  3.28
x191 =  1.29
x192 =  1.08
x193 = -1.09
x194 = -1.93
x195 = -1.55
x196 =  0.71
x197 = -0.45
x198 =  1.93
x199 = -0.35
x200 =  2.29
x201 = -5.23
x202 =  1.33
x203 =  2.55
x204 =  1.34
x205 = -3.54
x206 = -0.54
x207 = -2.31
x208 =  1.45
x209 = -1.95
x210 = -0.47
x211 = -0.83
x212 = -1.75
x213 =  0.46
x214 =  1.37
x215 = -0.09
x216 =  0.78
x217 = -3.49
x218 = -1.14
x219 = -1.84
x220 =  0.94
x221 = -2.11
x222 = -0.99
x223 = -2.31
x224 = -4.21
x225 = -0.74
x226 = -0.24
x227 =  0.58
x228 =  0.55
x229 =  1.79
x230 = -1.90
x231 =  2.94
x232 =  1.18
x233 = -1.96
x234 = -0.67
x235 = -1.67
x236 = -1.12
x237 =  1.79
x238 =  1.43
x239 =  1.18
x240 = -2.37
x241 = -0.85
x242 =  0.63
x243 = -1.53
x244 =  1.90
x245 =  0.63
x246 =  2.57
x247 = -2.23
x248 =  1.07
x249 = -1.60
x250 = -3.72
x251 = -3.68
x252 = -0.32
x253 = -1.30
x254 = -0.47
x255 =  4.07
x256 = -2.40
x257 =  0.39
x258 = -0.10
x259 =  0.60
x260 = -3.55
x261 = -0.51
x262 = -4.47
x263 = -0.69
x264 =  2.83
x265 = -2.80
x266 = -3.47
x267 = -1.81
x268 =  1.41
x269 = -4.14
x270 =  1.07
x271 = -1.61
x272 =  0.51
x273 =  0.88
x274 =  2.16
x275 = -2.74
x276 =  3.20
x277 = -2.56
x278 =  1.10
x279 =  1.71
x280 = -0.56
x281 =  2.43
x282 = -1.50
x283 = -0.18
x284 =  0.08
x285 = -1.45
x286 =  1.98
x287 = -1.28
x288 = -4.17
x289 = -1.75
x290 = -0.78
x291 =  1.70
x292 = -4.48
x293 =  1.33
x294 =  2.41
x295 =  0.99
x296 =  1.68
x297 =  0.22
x298 =  1.07
x299 = -0.09
x300 = -0.49
x301 =  1.24
x302 =  2.05
x303 =  0.83
x304 = -3.03
x305 =  1.50
x306 = -2.83
x307 = -0.84
x308 = -3.11
x309 = -1.06
x310 =  1.53
x311 =  1.38
x312 = -0.21
x313 =  1.67
x314 = -0.44
x315 = -0.05
x316 =  2.66
x317 = -1.85
x318 =  1.67
x319 = -1.01
x320 =  3.32
x321 = -2.67
x322 = -0.17
x323 =  0.11
x324 =  0.83
x325 = -2.06
x326 = -2.78
x327 =  1.44
x328 =  0.51
x329 =  1.20
x330 =  5.74
x331 = -0.07
x332 =  1.18
x333 = -0.77
x334 =  0.93
x335 = -1.24
x336 =  3.03
x337 =  2.98
x338 = -0.66
x339 =  0.79
x340 =  1.27
x341 =  3.00
x342 =  0.39
x343 =  0.23
x344 =  2.66
x345 = -0.20
x346 = -0.01
x347 = -1.12
x348 =  1.14
x349 =  4.32
x350 =  2.01
x351 =  0.55
x352 = -3.34
x353 =  1.27
x354 = -2.73
x355 = -0.03
x356 =  1.88
x357 =  1.45
x358 =  4.10
x359 = -0.79
x360 =  2.37
x361 =  1.12
x362 = -1.41
x363 = -1.16
x364 =  1.29
x365 =  0.42
x366 =  0.35
x367 = -1.38
x368 =  0.91
x369 = -0.57
x370 = -2.80
x371 = -0.87
x372 = -0.26
x373 = -1.51
x374 = -0.45
x375 =  5.02
x376 = -1.68
x377 =  0.29
x378 =  2.65
x379 = -1.95
x380 = -1.53
x381 = -0.47
x382 = -2.28
x383 = -3.13
x384 =  1.61
x385 = -2.46
x386 =  2.23
x387 = -1.59
x388 = -1.09
x389 =  1.77
x390 = -2.39
x391 = -0.32
x392 = -2.88
x393 = -0.38
x394 =  3.32
x395 = -1.15
x396 = -2.93
x397 =  2.24
x398 =  3.92
x399 =  1.96
x400 = -1.43
x401 =  2.96
x402 =  2.56
x403 = -1.76
x404 = -4.21
x405 =  1.58
x406 = -0.68
x407 =  1.61
x408 =  0.79
x409 =  1.81
x410 =  1.10
x411 = -0.78
x412 = -2.37
x413 =  0.25
x414 = -1.63
x415 = -0.23
x416 = -1.70
x417 =  2.29
x418 = -1.33
x419 =  0.99
x420 =  1.77
x421 = -1.72
x422 =  0.50
x423 =  0.98
x424 =  1.52
x425 =  2.25
x426 =  2.72
x427 = -2.51
x428 = -0.46
x429 = -0.83
x430 =  0.91
x431 =  2.23
x432 = -0.38
x433 =  3.40
x434 = -2.25
x435 = -2.12
x436 =  1.60
x437 =  0.92
x438 = -0.56
x439 =  1.59
x440 = -2.48
x441 = -1.21
x442 = -2.40
x443 = -1.04
x444 = -0.70
x445 =  1.98
x446 = -1.36
x447 = -0.43
x448 =  0.85
x449 = -0.51
x450 = -0.30
x451 = -2.99
x452 = -3.21
x453 = -1.52
x454 =  0.50
x455 = -0.65
x456 = -0.13
x457 =  1.86
x458 =  2.24
x459 = -0.02
x460 =  0.78
x461 =  0.67
x462 =  0.71
x463 =  1.00
x464 =  2.18
x465 = -0.12
x466 =  0.98
x467 = -0.80
x468 =  0.73
x469 =  3.71
x470 = -3.59
x471 =  1.12
x472 =  1.19
x473 =  2.08
x474 = -0.51
x475 = -1.74
x476 =  0.65
x477 = -3.16
x478 =  1.18
x479 = -1.93
x480 = -2.20
x481 =  1.24
x482 = -0.17
x483 =  2.16
x484 =  1.47
x485 = -2.44
x486 =  1.20
x487 = -0.81
x488 =  0.07
x489 = -0.90
x490 = -1.45
x491 =  0.81
x492 =  2.49
x493 = -0.33
x494 = -1.20
x495 =  0.11
x496 =  2.39
x497 =  0.10
x498 = -3.14
x499 =  1.21
x500 = -2.06
x501 =  2.43
x502 = -0.72
x503 =  1.00
x504 =  0.69
x505 =  0.30
x506 =  1.21
x507 =  0.96
x508 = -2.50
x509 =  0.06
x510 = -0.94
x511 =  1.15
x512 = -2.22
x513 = -0.77
x514 = -1.27
x515 = -0.34
x516 = -4.20
x517 = -1.97
x518 = -0.49
x519 = -0.34
x520 = -1.40
x521 =  2.27
x522 =  2.64
x523 =  0.76
x524 = -1.60
x525 = -1.18
x526 =  1.20
x527 =  0.57
x528 =  2.12
x529 = -3.42
x530 =  1.69
x531 =  1.71
x532 = -0.26
x533 = -0.45
x534 = -0.99
x535 = -4.12
x536 =  0.81
x537 =  0.92
x538 =  0.23
x539 =  0.86
x540 = -0.79
x541 =  0.09
x542 = -0.22
x543 = -2.06
x544 =  0.80
x545 = -0.40
x546 = -0.20
x547 = -1.90
x548 = -0.07
x549 = -1.98
x550 =  1.32
x551 = -0.09
x552 = -2.81
x553 =  1.35
x554 = -0.20
x555 = -1.91
x556 = -0.32
x557 =  1.71
x558 = -1.08
x559 = -2.63
x560 =  1.83
x561 =  3.93
x562 = -1.83
x563 =  2.19
x564 = -0.47
x565 = -0.86
x566 = -2.16
x567 =  1.68
x568 =  0.39
x569 = -2.02
x570 =  0.94
x571 = -0.54
x572 = -1.47
x573 = -0.90
x574 = -1.17
x575 = -1.34
x576 =  1.21
x577 =  0.10
x578 =  2.25
x579 = -1.85
x580 = -0.33
x581 =  1.73
x582 =  0.72
x583 = -1.25
x584 = -2.59
x585 =  1.26
x586 =  4.02
x587 =  0.35
x588 =  0.58
x589 = -0.79
x590 = -0.40
x591 =  2.09
x592 =  0.10
x593 = -1.02
x594 = -1.66
x595 =  0.15
x596 = -1.39
x597 = -1.45
x598 = -5.85
x599 =  5.35
x600 = -0.07
x601 = -4.66
x602 = -2.59
x603 =  2.00
x604 =  3.67
x605 =  0.71
x606 =  2.52
x607 = -1.53
x608 = -1.32
x609 = -1.75
x610 = -1.40
x611 = -2.07
x612 = -1.76
x613 =  1.40
x614 = -3.92
x615 =  0.28
x616 = -2.84
x617 =  2.14
x618 = -2.03
x619 = -1.11
x620 =  0.10
x621 =  2.09
x622 =  0.89
x623 =  3.60
x624 = -3.53
x625 =  1.21
x626 =  0.53
x627 =  2.58
x628 = -1.35
x629 =  0.39
x630 = -1.31
x631 = -3.38
x632 = -1.93
x633 =  1.69
x634 =  1.73
x635 = -3.68
x636 =  3.91
x637 =  0.12
x638 =  4.06
x639 = -0.74
x640 =  3.45
x641 = -3.35
x642 = -0.62
x643 = -1.91
x644 = -2.96
x645 =  1.39
x646 = -0.00
x647 =  1.41
x648 = -1.38
x649 = -0.50
x650 =  0.05
x651 = -2.17
x652 =  2.36
x653 = -2.32
x654 =  2.58
x655 =  1.25
x656 =  1.54
x657 =  2.55
x658 =  0.70
x659 = -1.07
x660 =  0.05
x661 =  0.04
x662 = -1.65
x663 =  0.64
x664 = -0.09
x665 = -2.51
x666 =  0.30
x667 = -2.29
x668 =  2.04
x669 =  1.28
x670 =  0.27
x671 =  1.29
x672 = -2.79
x673 =  4.31
x674 =  0.87
x675 = -2.20
x676 = -4.06
x677 =  0.67
x678 =  2.24
x679 = -1.05
x680 = -4.33
x681 = -0.83
x682 =  0.34
x683 =  0.22
x684 = -1.27
x685 = -1.84
x686 = -1.09
x687 =  1.67
x688 = -0.81
x689 = -1.09
x690 =  1.30
x691 =  0.77
x692 = -1.55
x693 = -0.17
x694 =  0.51
x695 = -1.46
x696 = -0.70
x697 = -2.51
x698 = -4.43
x699 =  0.62
x700 =  0.35
x701 =  2.21
x702 = -1.20
x703 = -1.75
x704 = -2.67
x705 = -4.16
x706 = -0.01
x707 = -0.81
x708 =  0.90
x709 =  4.34
x710 = -0.14
x711 =  3.13
x712 =  0.14
x713 =  0.71
x714 =  0.42
x715 =  1.97
x716 =  1.22
x717 =  2.16
x718 =  1.05
x719 = -1.37
x720 =  0.46
x721 =  0.74
x722 = -0.64
x723 = -0.58
x724 = -0.23
x725 =  2.30
x726 = -3.74
x727 = -2.02
x728 = -1.24
x729 = -1.75
x730 = -3.06
x731 =  2.07
x732 = -2.80
x733 = -0.36
x734 = -3.77
x735 =  0.83
x736 =  1.86
x737 =  2.60
x738 = -1.78
x739 = -0.33
x740 =  2.22
x741 = -2.11
x742 =  1.91
x743 =  1.64
x744 = -2.59
x745 = -0.77
x746 =  3.61
x747 = -0.92
x748 = -0.03
x749 =  0.58
x750 = -2.15
x751 =  4.73
x752 =  2.13
x753 =  0.56
x754 =  2.04
x755 = -0.94
x756 =  0.77
x757 = -1.67
x758 = -1.47
x759 = -2.28
x760 = -0.50
x761 =  0.26
x762 =  0.36
x763 =  1.35
x764 =  1.84
x765 =  2.46
x766 =  1.74
x767 = -0.24
x768 =  2.15
x769 = -3.88
x770 = -2.94
x771 =  1.42
x772 =  1.71
x773 =  4.69
x774 = -0.71
x775 = -0.37
x776 = -0.08
x777 =  0.24
x778 = -2.18
x779 = -0.48
x780 = -1.43
x781 =  1.55
x782 =  3.10
x783 =  2.61
x784 = -1.49
x785 = -4.07
x786 =  3.22
x787 =  2.67
x788 =  0.14
x789 = -2.68
x790 = -1.48
x791 = -3.03
x792 =  0.77
x793 =  0.47
x794 = -1.14
x795 = -1.04
x796 =  2.07
x797 =  1.10
x798 = -0.26
x799 = -3.36
x800 = -4.68
x801 = -0.64
x802 = -4.23
x803 = -1.07
x804 =  1.22
x805 = -0.94
x806 =  0.93
x807 =  2.17
x808 = -0.63
x809 = -1.58
x810 = -0.67
x811 = -5.05
x812 =  0.98
x813 = -1.88
x814 =  2.73
x815 = -2.65
x816 = -4.17
x817 = -2.85
x818 =  0.68
x819 =  2.00
x820 =  0.94
x821 = -2.62
x822 = -0.15
x823 = -1.18
x824 = -1.52
x825 =  1.22
x826 =  1.28
x827 = -2.17
x828 = -0.82
x829 = -0.84
x830 = -0.73
x831 =  0.16
x832 = -0.12
x833 =  1.25
x834 = -0.74
x835 = -2.19
x836 = -0.41
x837 = -0.49
x838 =  0.68
x839 =  2.88
x840 =  0.74
x841 =  1.48
x842 = -0.65
x843 = -0.76
x844 =  0.35
x845 =  1.49
x846 = -2.53
x847 = -0.38
x848 = -1.30
x849 = -0.24
x850 =  2.39
x851 = -2.60
x852 = -2.18
x853 =  0.05
x854 =  1.45
x855 =  0.10
x856 = -1.10
x857 = -0.56
x858 =  0.40
x859 = -2.02
x860 =  2.94
x861 =  2.18
x862 = -1.36
x863 =  3.01
x864 =  1.10
x865 =  0.85
x866 =  0.02
x867 =  1.55
x868 =  3.88
x869 =  0.79
x870 = -0.28
x871 =  0.58
x872 = -0.42
x873 =  0.91
x874 = -0.63
x875 = -0.52
x876 =  0.97
x877 =  0.51
x878 =  0.76
x879 = -0.92
x880 =  1.84
x881 = -1.93
x882 = -2.80
x883 = -1.71
x884 = -0.93
x885 = -0.44
x886 =  1.48
x887 =  0.27
x888 =  1.70
x889 = -2.43
x890 = -1.32
x891 = -4.70
x892 =  1.15
x893 =  2.00
x894 =  3.54
x895 = -1.39
x896 =  1.77
x897 =  0.67
x898 = -1.32
x899 = -0.04
x900 = -1.01
x901 = -3.14
x902 = -1.22
x903 = -1.66
x904 =  3.85
x905 =  0.45
x906 =  0.51
x907 =  1.73
x908 =  2.15
x909 = -0.10
x910 = -0.71
x911 = -0.13
x912 =  0.53
x913 =  0.34
x914 =  1.24
x915 = -1.83
x916 =  2.10
x917 = -0.92
x918 = -2.30
x919 = -0.87
x920 = -1.05
x921 =  1.40
x922 =  1.38
x923 =  1.05
x924 =  1.78
x925 =  0.54
x926 = -1.73
x927 = -1.47
x928 = -0.62
x929 = -0.54
x930 =  0.04
x931 = -1.20
x932 = -1.05
x933 = -2.43
x934 =  2.49
x935 =  1.28
x936 =  0.50
x937 = -2.34
x938 = -1.51
x939 =  1.60
x940 = -1.77
x941 = -0.16
x942 =  1.91
x943 = -1.99
x944 = -1.06
x945 = -0.05
x946 = -1.03
x947 = -2.12
x948 =  2.00
x949 =  1.14
x950 = -2.14
x951 = -1.38
x952 = -2.45
x953 =  2.40
x954 =  0.92
x955 =  2.15
x956 =  1.29
x957 = -0.87
x958 =  1.89
x959 =  0.78
x960 = -1.25
x961 = -2.42
x962 =  1.29
x963 =  1.31
x964 = -0.30
x965 =  0.60
x966 = -2.89
x967 = -0.36
x968 = -0.33
x969 =  0.80
x970 = -1.00
x971 = -0.10
x972 =  0.30
x973 =  0.82
x974 =  0.11
x975 = -2.73
x976 = -1.98
x977 =  0.14
x978 = -0.67
x979 = -0.61
x980 =  0.61
x981 = -2.45
x982 = -0.51
x983 = -2.07
x984 =  2.23
x985 = -1.35
x986 = -1.81
x987 =  0.40
x988 =  2.82
x989 =  3.68
x990 = -1.73
x991 = -3.87
x992 = -0.55
x993 = -0.11
x994 = -1.12
x995 = -0.98
x996 = -2.18
x997 = -0.62
x998 = -1.36
x999 =  2.52
x1000 =  0.59

Il sistema ha 200 equazioni linearmente dipendenti: ( Eq304 Eq115 Eq832 Eq526 Eq665 Eq355 Eq224 Eq999 Eq292 Eq215 Eq198 Eq357 Eq1095 Eq686 Eq363 Eq661 Eq279 Eq584 Eq837 Eq718 Eq1181 Eq908 Eq1007 Eq800 Eq392 Eq983 Eq897 Eq1103 Eq1129 Eq639 Eq717 Eq677 Eq755 Eq907 Eq698 Eq415 Eq1108 Eq443 Eq1066 Eq1155 Eq409 Eq902 Eq388 Eq1167 Eq444 Eq1014 Eq482 Eq1068 Eq1021 Eq494 Eq1107 Eq1156 Eq498 Eq566 Eq562 Eq614 Eq632 Eq930 Eq731 Eq867 Eq792 Eq543 Eq703 Eq688 Eq759 Eq951 Eq620 Eq655 Eq1173 Eq1022 Eq1099 Eq970 Eq1041 Eq1161 Eq969 Eq1093 Eq776 Eq1133 Eq959 Eq1120 Eq1189 Eq1158 Eq634 Eq931 Eq798 Eq1186 Eq1176 Eq1123 Eq1042 Eq914 Eq859 Eq1088 Eq1190 Eq818 Eq1119 Eq1144 Eq778 Eq673 Eq621 Eq830 Eq1043 Eq952 Eq1075 Eq838 Eq980 Eq956 Eq1019 Eq809 Eq946 Eq884 Eq912 Eq871 Eq949 Eq765 Eq1101 Eq1083 Eq696 Eq1147 Eq790 Eq1132 Eq964 Eq1134 Eq915 Eq844 Eq840 Eq878 Eq1072 Eq804 Eq1191 Eq1018 Eq808 Eq967 Eq1146 Eq940 Eq1003 Eq1016 Eq1136 Eq979 Eq894 Eq898 Eq1106 Eq993 Eq1126 Eq814 Eq861 Eq1040 Eq942 Eq962 Eq827 Eq1112 Eq1195 Eq1091 Eq1089 Eq892 Eq1171 Eq932 Eq972 Eq1065 Eq882 Eq1087 Eq1085 Eq988 Eq905 Eq917 Eq1009 Eq1081 Eq1142 Eq923 Eq1117 Eq976 Eq1138 Eq1178 Eq1174 Eq966 Eq953 Eq918 Eq1184 Eq1159 Eq968 Eq1115 Eq1015 Eq1194 Eq985 Eq1185 Eq1111 Eq1010 Eq1172 Eq1164 Eq1067 Eq1163 Eq1122 Eq1055 Eq1143 Eq1105 Eq1135 Eq1149 Eq1197 Eq1151 Eq1180 Eq1162 )

Le relazione tra le equazioni linearmente indipendenti (inizio a contare da 1):

R304=-0.01 * R36 +  0.92 * R38 
R115=+  0.09 * R32 + -5.73 * R83 
R832=+  0.33 * R90 +  0.07 * R94 
R526=+ -17.00 * R119 + -72.00 * R124 
R665=+ -2.54 * R126 +  0.04 * R142 
R355=+  0.49 * R156 + -0.01 * R157 
R224=+  0.02 * R47 +  1.07 * R174 
R999=+ -20.00 * R20 + -1.00 * R177 
R292=+  0.57 * R37 +  0.02 * R183 
R215=+  0.02 * R59 +  0.58 * R194 
R198=+ -0.12 * R161 + -6.12 * R196 
R357=+  2.73 * R179 +  0.03 * R203 
R1095=+  0.02 * R64 +  1.36 * R206 
R686=+ -47.00 * R25 + -63.00 * R216 
R363=+ 94.00 * R190 + 23.00 * R226 
R661=+ -1.00 * R208 + -60.00 * R230 
R279=+ -2.00 * R7 + 99.00 * R241 
R584=+  0.14 * R57 + -9.57 * R242 
R837=+ 10.00 * R17 + -98.00 * R243 
R718=+ -61.00 * R229 + -56.00 * R250 
R1181=+ -2.13 * R134 +  0.02 * R254 
R908=+ 40.00 * R207 + 86.00 * R271 
R1007=+ -0.89 * R29 + -0.04 * R274 
R800=+  0.02 * R255 +  1.11 * R284 
R392=+  0.02 * R49 + -1.35 * R293 
R983=+ -19.00 * R117 + 63.00 * R294 
R897=+ -0.41 * R143 +  0.01 * R309 
R1103=+ -16.00 * R171 + -16.00 * R319 
R1129=+ -0.53 * R227 + -0.03 * R323 
R639=+ 68.00 * R164 + -38.00 * R326 
R717=+ -0.93 * R321 + -0.01 * R328 
R677=+ -0.02 * R9 + -0.94 * R334 
R755=+ -0.14 * R281 +  6.86 * R338 
R907=+ -0.94 * R268 +  0.02 * R339 
R698=+ 48.00 * R72 + -30.00 * R346 
R415=+ -1.49 * R189 +  0.02 * R350 
R1108=+  0.32 * R246 +  0.01 * R354 
R443=+ -0.04 * R200 +  2.44 * R356 
R1066=+ -1.63 * R16 + -0.05 * R359 
R1155=+  0.01 * R52 + -0.31 * R372 
R409=+  0.81 * R66 + -0.06 * R377 
R902=+  1.80 * R188 +  0.10 * R381 
R388=+ -0.11 * R139 + -0.11 * R383 
R1167=+ 24.00 * R86 + 98.00 * R387 
R444=+  0.03 * R191 + -0.48 * R394 
R1014=+ -0.01 * R111 + -1.08 * R395 
R482=+ 94.00 * R270 + -72.00 * R401 
R1068=+ -0.92 * R315 + -0.01 * R416 
R1021=+  1.32 * R221 +  0.01 * R419 
R494=+ -6.00 * R277 +  7.00 * R421 
R1107=+ -13.00 * R146 + 17.00 * R437 
R1156=+ -0.01 * R85 +  0.37 * R441 
R498=+  0.16 * R182 +  0.01 * R442 
R566=+  0.31 * R435 + -0.02 * R448 
R562=+  0.03 * R159 +  2.33 * R449 
R614=+ -0.02 * R440 + -1.18 * R452 
R632=+ -8.00 * R33 + -36.00 * R459 
R930=+ -2.20 * R75 + -0.02 * R460 
R731=+  1.41 * R184 +  0.02 * R461 
R867=+ -39.00 * R27 + -67.00 * R464 
R792=+ 79.00 * R473 + 31.00 * R474 
R543=+  0.02 * R342 +  0.27 * R477 
R703=+  0.03 * R325 +  2.58 * R478 
R688=+  9.00 * R138 + 22.00 * R486 
R759=+ -0.11 * R181 +  6.89 * R487 
R951=+ 72.00 * R285 + 25.00 * R488 
R620=+  1.44 * R398 +  0.03 * R500 
R655=+  0.01 * R145 + -0.69 * R507 
R1173=+ -0.11 * R144 + -0.04 * R508 
R1022=+ -14.00 * R42 + -82.00 * R512 
R1099=+ -1.03 * R217 +  0.03 * R513 
R970=+  0.02 * R402 + -0.59 * R514 
R1041=+  0.04 * R223 +  1.56 * R516 
R1161=+  0.53 * R193 + -0.01 * R520 
R969=+ -61.00 * R30 +  6.00 * R521 
R1093=+  0.01 * R168 +  0.60 * R524 
R776=+ -48.00 * R417 + -18.00 * R530 
R1133=+ 78.00 * R260 + 21.00 * R536 
R959=+ -2.16 * R24 + -0.02 * R539 
R1120=+ -0.90 * R361 +  0.02 * R541 
R1189=+ 45.00 * R489 + -7.00 * R545 
R1158=+  0.01 * R403 + -0.63 * R546 
R634=+  0.04 * R137 +  1.39 * R547 
R931=+ 21.00 * R385 +  5.00 * R548 
R798=+  0.05 * R197 + -2.77 * R549 
R1186=+ 66.00 * R54 + 51.00 * R551 
R1176=+  1.50 * R152 +  0.02 * R556 
R1123=+ -44.00 * R110 + -72.00 * R564 
R1042=+ -0.04 * R375 + -0.17 * R569 
R914=+  0.01 * R495 + -0.62 * R571 
R859=+ 19.00 * R497 + -83.00 * R578 
R1088=+ -92.00 * R330 + 68.00 * R587 
R1190=+  0.01 * R349 +  0.98 * R589 
R818=+  0.24 * R122 + -0.02 * R593 
R1119=+ 96.00 * R529 + 97.00 * R605 
R1144=+  0.01 * R595 +  0.40 * R607 
R778=+ -58.00 * R187 + -38.00 * R610 
R673=+ -0.75 * R61 +  0.13 * R613 
R621=+ -0.21 * R503 +  0.03 * R615 
R830=+  0.48 * R108 +  0.01 * R617 
R1043=+ 70.00 * R4 + 82.00 * R619 
R952=+ 93.00 * R542 + 62.00 * R627 
R1075=+ -0.52 * R103 +  0.02 * R635 
R838=+ -0.08 * R265 +  1.67 * R646 
R980=+ 64.00 * R233 + -25.00 * R647 
R956=+ -0.34 * R439 +  0.03 * R649 
R1019=+ -0.56 * R509 + -0.01 * R652 
R809=+ 48.00 * R34 + -44.00 * R653 
R946=+ -0.77 * R590 +  0.01 * R654 
R884=+ -1.37 * R275 + -0.04 * R659 
R912=+ 68.00 * R579 + 10.00 * R660 
R871=+ -87.00 * R175 + -24.00 * R669 
R949=+ -0.28 * R591 + -0.02 * R670 
R765=+ -1.15 * R317 + -0.03 * R671 
R1101=+ -78.00 * R517 +  1.00 * R678 
R1083=+ -0.01 * R280 + -0.41 * R681 
R696=+  1.06 * R527 + -0.01 * R682 
R1147=+ 14.00 * R483 + -0.17 * R685 
R790=+  0.75 * R1 + -0.02 * R689 
R1132=+  0.73 * R297 + -0.02 * R692 
R964=+  0.01 * R337 +  1.11 * R694 
R1134=+  0.02 * R104 + -2.23 * R697 
R915=+ 31.00 * R347 + -33.00 * R701 
R844=+ -1.00 * R220 +  0.03 * R711 
R840=+ -70.00 * R121 + 97.00 * R714 
R878=+ 68.00 * R147 + 71.00 * R722 
R1072=+  1.88 * R31 + -0.02 * R727 
R804=+ -26.00 * R582 + 69.00 * R728 
R1191=+ -70.00 * R249 + -20.00 * R730 
R1018=+ -0.11 * R538 + -0.01 * R735 
R808=+ -0.02 * R26 +  0.26 * R736 
R967=+ -7.31 * R60 + -0.08 * R740 
R1146=+ -0.03 * R41 + -1.16 * R744 
R940=+ 31.00 * R432 + 63.00 * R758 
R1003=+  0.01 * R141 + -0.37 * R767 
R1016=+  5.08 * R732 +  0.08 * R769 
R1136=+  3.00 * R303 +  0.33 * R771 
R979=+ -0.26 * R532 + -0.01 * R773 
R894=+ 76.00 * R120 + 34.00 * R777 
R898=+  3.00 * R367 + -75.00 * R785 
R1106=+ -0.11 * R600 + -0.01 * R786 
R993=+ -70.00 * R757 + 82.00 * R789 
R1126=+ 22.00 * R51 + 22.00 * R795 
R814=+  1.12 * R709 +  0.01 * R797 
R861=+ 25.00 * R422 + -82.00 * R799 
R1040=+ -64.00 * R82 + -24.00 * R803 
R942=+ -81.00 * R567 + -79.00 * R813 
R962=+ -0.01 * R476 +  0.43 * R817 
R827=+ 82.00 * R2 + -50.00 * R820 
R1112=+  0.01 * R195 +  0.10 * R821 
R1195=+ -0.03 * R553 + -0.02 * R834 
R1091=+  0.45 * R379 +  0.02 * R835 
